"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42016-169pf_146-IR_L8",0.00304254287491761,0.0183888067170839,0.0139928753371575,-0.00735588161232986,-0.0103050803553943,-0.000863603794918459,-0.0267475037449885,0.00240587167010108
"R42015-541pf_147-IR_L6",-0.0413002046041695,-0.00520526688938169,-0.0239655365205735,-0.0290480806823925,-0.0176432490286061,-0.0641540389237385,-0.0409893104024534,-0.060503263268513
"R42016-170pf_148-IR_L8",-0.0140022116087957,0.0094112046350466,-0.00306138285020709,-0.0259474341301306,-0.0138630723776936,-0.0156694002764067,-0.0541420761516286,-0.0295565717542321
"R42016-171pf_149-IR_L8",-0.00879489292617643,0.0114067314327123,0.000433262626714269,-0.0351999892156122,-0.0141190874734929,-0.000144213917942754,-0.0800566929550523,-0.0427948415484004
"R42015-482pf_15-IR_L1",-0.00987665118479584,0.00737069165826238,0.000420067828155418,0.0052436708330588,-0.0107979878782682,-0.0269358543346935,0.00514287338475503,-0.0224975410884122
"R42016-172pf_150-IR_L8",-0.00734169639769097,0.0104644609181432,0.0069886931011208,-0.0305701232250028,-0.00731495237030176,-0.00999164813854898,-0.0654007283094927,0.0120174948456905
"R42016-173pf_151-IR_L8",-0.0039186297699773,0.00924328663619746,0.000996645525478631,0.00849163322191521,-0.0122617049535109,-0.00403980707469283,-0.0121109335993096,-0.037630415706834
"R42015-542pf_152-IR_L6",-0.0311687195707511,0.000766629437151407,-0.0139661223401809,-0.0253693651885165,-0.0150112998530496,-0.0535809628271822,-0.0394377108241205,-0.0361995985607814
"R42016-174pf_153-IR_L8",-0.000507109438279247,0.0139247266868796,0.00542271667958005,-0.000596791504519156,-0.0118409487183295,-0.00491363485852453,-0.0180673569962991,-0.0292511611391647
"R42015-543pf_154-IR_L6",-0.048289585800173,-0.00671934989518375,-0.0314222032967756,-0.036362398055487,-0.0178372387889578,-0.0737142259573945,-0.0503884255955493,-0.0614329347974081
"R42016-175pf_155-IR_L8",-0.0106477346112805,0.0059448993716698,-0.00044775832174738,0.000237452292174544,-0.00946034221523059,-0.0163132488447059,-0.0078626571753782,0.00268646015706824
"R42015-544pf_156-IR_L6",-0.0351016207407304,-0.00103616207198798,-0.0200383063045732,-0.028494790288495,-0.0162751825478743,-0.0588464107525628,-0.0426733200517715,-0.0492599416317111
"R42016-176pf_157-IR_L8",0.00594879957946224,0.0198757735311878,0.0148457879355207,0.00794562748191914,-0.010152507414732,-0.00232347551489658,0.00217264807549681,-0.00738719729819249
"R42016-177pf_158-IR_L8",0.00587407311511714,0.0181472118542119,0.0115793363539544,0.00102401367613606,-0.0107687193952692,-0.0010381397588115,-0.00533284444547111,-0.0155639363114855
"R42016-178pf_159-IR_L8",-0.00238479118686635,0.0138565067451692,0.00880919232343829,-0.00944838376161736,-0.0109097843598842,-0.00908047792855889,-0.0248438372616539,-0.00708367508764418
"R42016-094pf_16-IR_L1",-0.0249602613433388,0.00796408162999591,-0.00629908270686082,-0.026429156437276,-0.0131810681096754,-0.0287825998847088,-0.0608438925119515,-0.044259651782348
"R42016-179pf_160-IR_L8",0.00440437514882503,0.0205335838412512,0.0173330853884812,-0.00707487224114888,-0.00740087821510564,0.000350984640828856,-0.0280283569546808,0.0137455122699333
"R42015-545pf_161-IR_L6",-0.0361111938601956,-0.00125709746891791,-0.0254117731158601,-0.0264187438455954,-0.0169034128521955,-0.0495427350304617,-0.0598680621534346,-0.0768724589713868
"R42016-180pf_162-IR_L8",0.00603384320055856,0.0195053153825569,0.0154873244944691,-0.00685997423389246,-0.0118246228614839,0.0167108102934428,-0.0428493569370312,-0.0155871071004054
"R42015-498pf_163-IR_L2",-0.00484320508230203,0.0122118060713755,-0.000338408054840561,0.00722435099831731,-0.0121375909140591,-0.033095805821247,0.0275504974981549,-0.0236327944676142
"R42015-145pf_164-IR_L1",0.0225253074297581,0.0240504565651555,0.0254375979460198,0.0191697711023632,-0.00792199279682446,0.020884402484048,0.0214124059133698,0.000886339685301398
"R42015-499pf_165-IR_L2",-0.0101165682072869,0.00820769378912982,-0.00175226249169509,-0.000249336657288238,-0.0122867223703729,-0.0332868133038295,0.00328503610370337,-0.0291691579727858
"R42015-500pf_166-IR_L2",-0.00165871247370913,0.0135832266392217,0.00257298672066874,0.013000940745226,-0.0089201169930006,-0.0289165379544236,0.0318699793590183,-0.0136209597777548
"R42015-501pf_167-IR_L2",0.0078527184513976,0.0182872284044856,0.0144388778027777,0.0156421223343114,-0.00960817531924097,-0.0108382015831336,0.0264152305684446,-0.00294879420441721
"R42015-146pf_168-IR_L1",0.004769905811338,0.0191916352991488,0.0104719726058449,0.00483273713510981,-0.0107547169561611,-0.0130722931293715,0.00998679231234225,-0.00065671856512424
"R42015-147pf_169-IR_L1",-0.00307964766762053,0.0118323165812346,0.0102936274749594,0.00114627463338496,-0.00790538346584283,-0.0226424939534882,0.00841160656897303,0.0191106815396384
"R42016-095pf_17-IR_L1",-0.0187163694473921,0.00767045421614682,-0.0033942363640986,-0.0197766833679512,-0.0150021617568321,-0.0311474575059584,-0.0359341224533776,-0.0328476159830035
"R42015-148pf_170-IR_L1",0.013076864719504,0.021492090915838,0.0177168908980924,0.0141067080242112,-0.00832388040211478,-0.00381418730256652,0.0251424579380936,0.0164744059239693
"R42015-149pf_171-IR_L1",-0.00105006456281419,0.0148590744131156,0.0108289342095628,0.00169322039887132,-0.010911003516951,-0.0186493604901458,0.00869855418159013,-0.00675318732298015
"R42015-150pf_172-IR_L1",0.0108954233066601,0.0197253822054968,0.0141039992822765,0.0137119078017706,-0.00950744737388126,-0.00781059244476716,0.0247607528057921,-0.00435199049245259
"R42015-151pf_173-IR_L1",0.0206046501428605,0.026126755300657,0.025150286091625,0.0205815548641989,-0.00594229158691455,0.0139467233621646,0.024852742918979,0.0333995038021865
"R42015-152pf_174-IR_L1",0.00984631561075261,0.0213743998627246,0.0193051912759899,0.0124755784506416,-0.00572774604561299,-0.0166942958224433,0.033117782129724,0.0397331511971992
"R42015-153pf_175-IR_L1",0.00320636601594721,0.0156138010262265,0.0134260217554741,0.00846745622994229,-0.0086586599893398,-0.0185727813997909,0.0255936633525189,0.0191361666016015
"R42015-154pf_176-IR_L1",0.00393819239933865,0.0146204765262297,0.00901331486728565,0.0116992234976866,-0.0113493926153028,-0.0172265177892066,0.0246264028698761,-0.00844427757041251
