"","ME6","ME4","ME5","ME7","ME3","ME1","ME2","ME0"
"R42015-205pf_226-IR_L2",-0.00984728047760597,0.00891211023592539,0.00034489434701028,0.00518479129135863,-0.0115450468322697,-0.0322910423937407,0.0160031808633405,-0.0202111404686403
"R42015-206pf_227-IR_L3",-0.00904724443031355,0.0102637236872763,0.000856287103226611,0.00779365416818497,-0.0129342576909011,-0.0291520139818172,0.0128968939371081,-0.0252543259841207
"R42015-207pf_228-IR_L3",-0.00828844539192938,0.010855530506764,-0.000160605043556559,0.0013744837440589,-0.0124736414338752,-0.0274538530820188,0.00249663569653216,-0.0242528282333561
"R42015-208pf_229-IR_L3",-0.00444600345930692,0.0131906453068064,0.00342357805039049,-0.0022186225330246,-0.0129406367061525,-0.0175209784636968,-0.0127856920931086,-0.0301823701786582
"R42015-422pf_23-IR_L8",0.0196878817818438,0.0216762432719995,0.0216545596798616,0.0193833218178269,-0.00750510079104427,0.021533803861736,0.00609007962369949,0.00416236876327549
"R42015-209pf_230-IR_L3",0.00385855444077288,0.017259495372335,0.0102251562165306,0.00314228394264574,-0.00915322309438556,-0.0151974558855961,0.00287314819342178,0.00933050457701948
"R42015-210pf_231-IR_L3",-0.0055336325259939,0.01179598387426,0.000106092540728768,-0.000579550897816935,-0.0137673026710549,-0.0136730891048048,-0.0165839199263312,-0.0361980975743484
"R42015-211pf_232-IR_L3",0.00378262219218143,0.015350784239956,0.0127166740385016,0.00831592077364008,-0.00963912707792311,-0.00684752989858122,0.00245092314148969,0.00621876750390429
"R42015-212pf_233-IR_L3",-0.0113763714046589,0.00630796942627137,-0.00360320257368068,-9.28272822320604e-05,-0.0139022770723778,-0.0284100493107174,-0.00292137730800772,-0.046276217051847
"R42015-213pf_234-IR_L3",-0.0151798636496966,0.00745703293177018,-0.00598347650499325,0.00136758673469244,-0.0147828479293358,-0.0326056062730065,0.00123952056397278,-0.0366432111227516
"R42015-214pf_235-IR_L3",-0.0130214005233406,0.0079518070145992,-0.00151932604802772,-0.000816280445907715,-0.0103814355711369,-0.0384992455938951,0.00675985132464852,-0.0205046606707947
