"","kME4"
"CARD9",0.342298792276767
"LIMS2",0.342135012115215
"VCAM1",0.34193619149842
"SIGIRR",0.341789240035445
"TNFSF12",0.341211130762268
"ZNF865",0.34100626665029
"CCDC78",0.340565236689969
"FES",0.340562866340622
"SPON2",0.340513751105862
"RCN3",0.340284500919881
"C1QTNF4",0.340255226047306
"RPL36",0.339962652027732
"APC2",0.339488130904231
"CAMSAP3",0.339482613210219
"CLCNKA",0.339316559820791
"TTYH1",0.33914668597607
"RASA4B",0.33896034128765
"ASIC3",0.338887817961503
"DNLZ",0.338777916628417
"RTN4R",0.338741810876869
"CSPG4",0.338582796239463
"CTXN1",0.338557614829032
"NEURL1",0.33842379629883
"MEF2B",0.338391216647456
"MFAP2",0.338275081745834
"TAS1R3",0.337166853056721
"DYRK1B",0.337029194754917
"CLDN3",0.336902269643098
"SH3BP1",0.336710479663969
"CHRM4",0.335913304790586
"VMO1",0.335093419139938
"SEZ6L2",0.33507431361382
"SH3TC1",0.334620901350621
"NAALADL1",0.33446554928629
"MYH7B",0.334403749618285
"LRP3",0.333805803007614
"CD14",0.332781883483753
"SPATA25",0.33232649001435
"RAB11B",0.332152622068361
"GSDMD",0.33206632581267
"SYT10",0.331989430531989
"ITGB2",0.331876736573947
"DPP7",0.331479884061481
"TMEM130",0.331449232930195
"SBNO2",0.331411023010087
"HSD17B14",0.331326213375458
"PACSIN3",0.331141908580505
"HMCN2",0.331000319585177
"SLC52A2",0.33079026758269
"CYP21A2",0.330043389058069
"CACNA1B",0.329970608339475
"RHBDL1",0.329297386438831
"OR52N4",0.329275856742228
"SORCS2",0.329203989744994
"TLE2",0.329132560839298
"ZNF570",0.328824006679501
"VWF",0.328082574809241
"ZDHHC1",0.327976701260976
"MAD1L1",0.327605316952254
"AGBL4",0.327583530502503
"KCNK7",0.327547508945753
"FIBCD1",0.327536326526907
"DOK7",0.327199153395015
"GADD45G",0.327009910813777
"CKB",0.326955066088766
"GOLGA6L4",0.325721659441962
"SCAF1",0.325618528418277
"GPR162",0.325356408738933
"DPM3",0.325286149040994
"RPS9",0.324718333918779
"ZBTB12",0.324545016974268
"REN",0.324483988105655
"NT5M",0.324232666511235
"CHPF",0.324204460136048
"SCARF2",0.323777821416082
"DGCR6L",0.323772367890749
"CYYR1",0.323041871373498
"LFNG",0.322925031533292
"NOS3",0.322858741762871
"ST6GALNAC6",0.322040881091459
"MAPK11",0.322029015869895
"MSLN",0.321906494353747
"NXPH3",0.321443360085577
"CORO1A",0.321077301151164
"IGSF9B",0.320993197280043
"FSCN2",0.320528784738486
"AATK",0.320422952246663
"NDUFA11",0.320175049980417
"PPFIA3",0.320001931496452
"RTBDN",0.319888056991739
"AHDC1",0.319664317322993
"RGS14",0.319503394150346
"ZDHHC8",0.31850463027922
"PPDPF",0.318333508043287
"CAMK2B",0.3183219727115
"NCMAP",0.318029222817388
"PLGLB2",0.317946385144775
"CARD10",0.317869501872689
"LRRC10B",0.317678808890222
"SYT12",0.317627285794239
"NAA38",0.317567904752022
"CARD11",0.317385255566201
"PCSK4",0.316950326057153
"SCN1B",0.316930788311557
"C2CD4C",0.316870691550935
"DVL1",0.316809212452965
"ZNF157",0.316575566732216
"STX1B",0.316499286720954
"SAMD10",0.315384240215367
"USH1G",0.315204472399063
"COL5A3",0.314903513918724
"LIPE",0.314733049521235
"RYR1",0.314498310318645
"OPRL1",0.314456516865872
"HLA-DQA2",0.314414766103555
"NBL1",0.314172735903309
"SUSD2",0.314134784185316
"DNASE1L2",0.31392131659279
"GRIN2C",0.313830251509089
"ATAD3A",0.313763516049348
"ETV2",0.313367368377095
"TSSC4",0.313353841512768
"FKBP8",0.313237073724498
"MZT2B",0.313113931838848
"TFPT",0.312953247970976
"MMP17",0.312920114327168
"BAIAP3",0.312754797176413
"SHE",0.312676443357401
"THEM6",0.312656896231956
"MIIP",0.312603729136946
"FZD9",0.312580263442012
"MAMDC4",0.312364759713329
"EGFL7",0.312066528688344
"PCDH1",0.31184977919259
"TP53I11",0.311706906539747
"NOXA1",0.311701933577818
"SLC25A22",0.311427085412758
"RPUSD1",0.311219016057823
"MEGF6",0.311046784462528
"FSCN1",0.311040405672659
"TNK2",0.310760025130232
"MPV17L",0.310332767368947
"ICAM2",0.309997834566684
"FOXJ1",0.309883207537759
"MYO15B",0.309854103421048
"BOP1",0.309764252828983
"GJA4",0.309762279908892
"ATP6V0C",0.309518266487976
"RGS11",0.309411457602937
"ROBO3",0.309354541539051
"TRAPPC6A",0.309195668647971
"SNPH",0.309046806216266
"BTBD2",0.308448536677105
"AURKAIP1",0.308376936082254
"TLE6",0.30826017106438
"FBXW5",0.307911418745899
"RPE65",0.307747175339816
"SLC6A15",0.307735099760151
"TBX6",0.307525796102912
"JMJD7-PLA2G4B",0.307496929916229
"FASN",0.307318553770401
"LIN7B",0.306820870407423
"PARP10",0.306799934859607
"IZUMO4",0.306797199330383
"OSBPL5",0.306684916125354
"ZNF296",0.306680518504035
"SLIT1",0.306285261066863
"IGFBP2",0.306279379330795
"ADM5",0.30544652619466
"CPTP",0.305412415963556
"LRRC45",0.305172548537464
"LRP5",0.305123309811455
"TPPP3",0.304784259972984
"GPR35",0.304717917230979
"TSNARE1",0.304700090837355
"MAP1S",0.304526262032531
"RTN4RL2",0.304409729451579
"TRH",0.304271327171526
"OR2L2",0.304136449029157
"KCTD17",0.304134505371739
"MED16",0.303998100899559
"FERMT3",0.303950388697774
"ABCA2",0.303894129606733
"EXOSC5",0.303839061594045
"OVCA2",0.3037785347335
"EMILIN1",0.303631410198097
"MMP15",0.303498689679734
"GPT",0.303270456207094
"ARHGAP33",0.303130552211428
"APLP1",0.303099735812268
"INF2",0.303079258466047
"ASPHD1",0.302972887568302
"SNAPC2",0.302953937069475
"PLA2G4B",0.302605479715813
"CPSF1",0.30257361453016
"ATP13A2",0.302438870790049
"SLC7A4",0.302217570857176
"BCAM",0.301728453374994
"ZFPM1",0.301695399181122
"INSM1",0.301360213487459
"RASGEF1B",0.301249165879112
"LRRC56",0.301077073909353
"NTN1",0.30103738051501
"HDAC10",0.301029033526531
"RAB3A",0.300911592551865
"GYPC",0.300834351028399
"LRRC75B",0.30029236938771
"MRC2",0.300271098113349
"GPRC5C",0.300085070139529
"NDUFA13",0.300081087164849
"SLC16A11",0.300043901292855
"ABHD8",0.299837328025127
"LSP1",0.299786730062111
"COPE",0.299659010034331
"MGAT3",0.29944709662749
"MPG",0.299233645599364
"PPAN",0.29901313504635
"GRN",0.298830711819342
"SSNA1",0.298807802029914
"NACAD",0.298462476505763
"SAMD14",0.298372569862643
"IDUA",0.298288540974143
"GLI4",0.297806401913346
"ATP1A3",0.297795060950939
"TREM1",0.297688834663772
"SPEG",0.297566896562708
"ADCK5",0.297507340754849
"LTBP3",0.297286783892079
"FBXL19",0.297259590531497
"AIP",0.297143366743536
"MSI1",0.297079863457723
"FMNL1",0.296714415591773
"TRPV2",0.296529850484818
"SCARF1",0.296315799003973
"ARVCF",0.296144923433614
"SIPA1",0.295983449293108
"RAC3",0.295948173890524
"MRPL41",0.295891817655165
"KIRREL3",0.295891068226821
"WDR86",0.295856577313057
"PUSL1",0.295834992006369
"CCDC61",0.295548437705321
"FCGBP",0.295511496854848
"SLC2A6",0.295440899560324
"ROMO1",0.295423622736091
"WDR81",0.295355447961092
"NR1H2",0.295346968007197
"CPAMD8",0.295177801624347
"RRAD",0.295092069408719
"TMED1",0.295042808780288
"CDH5",0.295024698793703
"SMOX",0.294832171468432
"DUS3L",0.294628987308575
"ABCD1",0.294266390995677
"GPSM1",0.294136742703546
"SEMA3B",0.294064215420866
"FGFBP2",0.29397955365762
"GNB2",0.293760244432927
"AGPAT2",0.293756326694287
"TMEM259",0.293674956310151
"ZNF775",0.293672742871032
"GPR137",0.29359996785749
"CCDC85B",0.293567965311576
"UBE2S",0.293479099696099
"LIMD2",0.29332077890269
"ALKBH7",0.293297869602706
"CYP2S1",0.293089946101499
"PNMA3",0.292813050642654
"TSHZ3",0.292686401039637
"NAPRT",0.292672557719059
"GALK1",0.292512332122186
"KLK14",0.292357417668139
"NCF4",0.292117833262753
"LLGL2",0.292041114562465
"OSGIN1",0.292038702726768
"HAUS7",0.292025404664995
"RASD2",0.29200911370834
"DCHS1",0.291864097266881
"KANK3",0.291697428710532
"PKD1",0.291651924217233
"PPP1R35",0.291504202758147
"SNTA1",0.291461739158442
"FAM178B",0.29130266251012
"LDHD",0.291256616121404
"BCL9L",0.291246826146789
"IFITM10",0.291228060982833
"TBL3",0.291190148129744
"ANAPC11",0.290983360052496
"ARHGDIA",0.290658413424679
"CCDC175",0.29030233266152
"HYI",0.290004558718274
"PLD4",0.289843170287787
"CIC",0.289603004923237
"NPFFR2",0.289397910075567
"DCAF15",0.289205543158565
"TMEM129",0.288924697351025
"TRIM74",0.288650304694901
"STUB1",0.288634200158884
"SCAND1",0.288553833884535
"CORO6",0.288509097881374
"FAM167B",0.28849820011507
"PLEC",0.288175178683811
"DLK2",0.287811191423727
"MESP1",0.287675593838158
"CAMK2N2",0.287417142624691
"ISOC2",0.287363342877371
"PLCH2",0.287308817183411
"PERM1",0.287274228744055
"FLYWCH2",0.287261180757119
"WAS",0.28724739655543
"PPP1R16A",0.287167328129157
"LCN12",0.28711080147978
"FAAH",0.286873804054784
"ARHGAP4",0.286770174636877
"SPEF1",0.28657905596992
"ZNF467",0.286469643665961
"CRIP1",0.286050368057364
"CCDC106",0.285873824772021
"MAPK8IP2",0.285703065559394
"UBALD1",0.285687258930512
"TMC6",0.285660870549146
"OBSCN",0.285609684663544
"PTPRN2",0.285600435471838
"LRRN2",0.28550941087527
